timestamp,device_id,device_type,location,power_watts,energy_kwh,operational_status,room_temp,outdoor_temp,humidity,light_level,motion_detected,door_status,user_id,user_presence,wifi_signal,weather_condition,electricity_price,anomaly_score,hour_of_day,day_of_week,is_weekend,month,season
2023-01-20 22:56:00,D003,oven,bedroom,73,0.4013819927323682,1,18.839875939329076,12.500751949906668,53,22,0,0,U004,1,-75,cloudy,0.1788835891497715,0.041960510429742075,22,4,False,1,1
2023-01-20 22:57:00,D004,oven,bedroom,101,0.9863166274043146,0,23.210085545896302,19.061751138578124,66,44,0,0,U001,0,-2,rainy,0.12168977645428895,0.031887480253911596,22,4,False,1,1
2023-01-20 22:58:00,D002,oven,kitchen,144,0.775742990628758,1,18.351684131985834,19.94279365452908,70,48,1,0,U005,0,-91,cloudy,0.14546196958840954,0.07168504752867404,22,4,False,1,1
2023-01-20 22:59:00,D003,oven,bathroom,53,0.05466945587344407,0,19.084352717692713,18.591299842834477,38,28,1,0,U003,1,-8,clear,0.1044539330214298,0.01196588842456029,22,4,False,1,1
2023-01-20 23:00:00,D003,light,living_room,78,0.46341945107577853,1,18.95443108650498,16.81778176812847,79,83,1,1,U002,0,-35,clear,0.15635105629698612,0.00039808457661042466,23,4,False,1,1
2023-01-20 23:01:00,D002,coffee_maker,bedroom,123,0.21020596858852902,0,24.047633396434442,10.567624108955101,49,23,1,1,U003,0,-59,rainy,0.17075622939116203,0.07693374990837461,23,4,False,1,1
2023-01-20 23:02:00,D001,refrigerator,bedroom,4,0.7502493170046111,0,19.606981885363258,12.43751331337843,53,72,0,1,U003,0,-81,cloudy,0.17893705874724902,0.016678355534095392,23,4,False,1,1
2023-01-20 23:03:00,D001,refrigerator,living_room,10,0.22705750126033586,1,19.542834224251187,15.054581764948312,52,95,1,1,U004,1,-73,clear,0.10697072765861526,0.0024934723873218604,23,4,False,1,1
2023-01-20 23:04:00,D004,light,bedroom,50,0.4384767887441742,1,20.7315817139492,19.007320615903097,40,32,1,1,U001,1,-44,rainy,0.13388449944842234,0.025201775142273744,23,4,False,1,1
2023-01-20 23:05:00,D001,refrigerator,bathroom,140,0.6911680843936602,0,23.19765521902273,14.53834212596616,73,60,1,0,U003,1,-51,rainy,0.1027732169016597,0.02172226914182701,23,4,False,1,1
2023-01-20 23:06:00,D001,refrigerator,bedroom,128,0.9565042361952454,1,20.61270370804332,11.510982051683126,69,56,0,0,U005,0,-79,clear,0.16071900852109575,0.05814635420011095,23,4,False,1,1
2023-01-20 23:07:00,D001,refrigerator,kitchen,29,0.47682032261891416,0,19.418358994925743,19.20590003414246,43,14,0,1,U003,0,-27,clear,0.12871443853314135,0.031797156396240235,23,4,False,1,1
2023-01-20 23:08:00,D001,refrigerator,living_room,81,0.7988698212205425,0,22.295472172320082,10.714074145294443,61,94,0,1,U002,0,-89,cloudy,0.16016472771054147,0.009483574834709619,23,4,False,1,1
2023-01-20 23:09:00,D003,oven,bathroom,141,0.9228184830682284,1,23.6281621134019,13.658858820566792,32,28,0,0,U002,1,-87,rainy,0.16051145965649294,0.04540567702391123,23,4,False,1,1
2023-01-20 23:10:00,D003,refrigerator,bedroom,9,0.17673958167852521,1,21.387058395158697,18.64237090225497,79,37,1,0,U003,0,-78,cloudy,0.18372065138183008,0.043186831642325056,23,4,False,1,1
2023-01-20 23:11:00,D001,light,kitchen,131,0.29120865736565416,1,24.816708089128376,15.457186145813408,37,38,0,0,U004,1,-74,clear,0.14084998954903383,0.08412911541240996,23,4,False,1,1
2023-01-20 23:12:00,D001,refrigerator,bedroom,64,0.38739556121768826,1,21.630698352614335,19.97248296239681,31,64,1,1,U003,0,-49,clear,0.10776956547442362,0.053895144857279066,23,4,False,1,1
2023-01-20 23:13:00,D004,oven,kitchen,12,0.7655376085793708,0,24.43885755030938,12.762507434769693,55,5,0,1,U002,1,-80,cloudy,0.18430614074838234,0.007984508408567736,23,4,False,1,1
2023-01-20 23:14:00,D002,oven,bathroom,1,0.6908359259321823,0,22.61218055894073,13.212338759403663,57,85,1,1,U003,1,-25,cloudy,0.19302182672458357,0.09025654848925424,23,4,False,1,1
2023-01-20 23:15:00,D002,light,bathroom,119,0.9458314863065,0,23.482426824877024,12.747563355682408,38,25,1,1,U003,0,-16,rainy,0.1364183140525414,0.08760668719262193,23,4,False,1,1
2023-01-20 23:16:00,D004,coffee_maker,bedroom,122,0.704569246537879,0,18.50870741776833,12.701342856381359,62,96,1,1,U003,1,-3,clear,0.1205850083007769,0.0900272620641921,23,4,False,1,1
2023-01-20 23:17:00,D003,refrigerator,bedroom,70,0.025444340727609815,1,23.60211809252708,10.133372726188327,47,45,0,0,U001,1,-14,rainy,0.10066567223281048,0.05288785723547939,23,4,False,1,1
2023-01-20 23:18:00,D004,coffee_maker,living_room,145,0.4136078076661547,0,23.19756005709193,12.294913617143283,69,36,0,1,U004,1,-86,rainy,0.17805613047090135,0.01963729502539262,23,4,False,1,1
